aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000,label,ab_000_was_missing,ac_000_was_missing,ad_000_was_missing,ak_000_was_missing,bk_000_was_missing,bl_000_was_missing,bm_000_was_missing,bn_000_was_missing,bo_000_was_missing,bp_000_was_missing,bq_000_was_missing,br_000_was_missing,bx_000_was_missing,ca_000_was_missing,cc_000_was_missing,cf_000_was_missing,cg_000_was_missing,ch_000_was_missing,cl_000_was_missing,cm_000_was_missing,co_000_was_missing,cr_000_was_missing,ct_000_was_missing,cu_000_was_missing,cv_000_was_missing,cx_000_was_missing,cy_000_was_missing,cz_000_was_missing,da_000_was_missing,db_000_was_missing,dc_000_was_missing,df_000_was_missing,dg_000_was_missing,dh_000_was_missing,di_000_was_missing,dj_000_was_missing,dk_000_was_missing,dl_000_was_missing,dm_000_was_missing,eb_000_was_missing,ec_00_was_missing,ed_000_was_missing,ag_total,ag_wmean,ag_concentration,ay_total,ay_wmean,ay_concentration,az_total,az_wmean,az_concentration,ba_total,ba_wmean,ba_concentration,cn_total,cn_wmean,cn_concentration,cs_total,cs_wmean,cs_concentration,ee_total,ee_wmean,ee_concentration
970660.0,0.0,146.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,4712.0,65954.0,2466518.0,1232700.0,21578.0,8.0,18378206.0,2543856.0,0.0,0.0,0.0,0.0,34841738.0,27120388.0,17369280.0,6913530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152682.0,1303644.0,2335140.0,0.0,8354.0,5440.0,6138.0,8002.0,1366624.0,2396528.0,380.0,0.0,0.0,0.0,1589348.0,688714.0,361038.0,262426.0,204750.0,223074.0,295484.0,165148.0,1484.0,0.0,52217606.0,16.0,64.0,9772.0,2806.0,18378206.0,740152.0,5572596.0,11734828.0,946640.0,854760.0,619820.0,669200.0,514520.0,494520.0,519840.0,473720.0,86820.0,970660.0,52217606.0,52217606.0,3866862.0,23939.0,966.0,67752.0,114600.0,3791482.0,1209600.0,0.0,2.0,44.0,0.0,63904310.4,0.0,17655459.84,0.0,0.0,0.0,0.0,0.0,20572.0,1114798.0,2389526.0,235640.0,24308.0,6540.0,82.0,8.0,14.0,52217606.0,0.0,2600.0,2476.0,8710.0,299364.0,322586.0,2423836.0,716196.0,15698.0,0.0,0.0,216.0,278.0,1107012.0,44304.0,0.0,212.0,0.0,0.0,1697258.0,55430.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425456.0,10760.0,2236.0,0.0,0.0,46262.0,8106.0,178100.0,28602.0,0.0,0.0,0.0,0.0,627060.0,2137.32,2532.0,596324.0,1039594.0,555780.0,270322.0,505244.0,372902.0,249790.0,95062.0,105766.0,684.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3791470.0,6.316632335215629,0.6505439842594033,3791466.0,7.575623782463037,0.6158936938904371,3791466.0,4.613819034642536,0.6320847925314377,3791466.0,1.8655712592437859,0.4191908881683233,3791466.0,4.775353913235672,0.6302380134755263,3791466.0,4.941248055501487,0.6392872835995365,3791468.0,2.601647699519025,0.2741930038707962
42098.0,0.0,1130.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,373844.0,2051790.0,736210.0,55522.0,3438.0,1463538.0,0.0,0.0,0.0,0.0,0.0,2733100.0,2200528.0,722454.0,444680.0,0.0,0.0,0.0,0.0,2648.0,744.0,0.0,0.0,0.0,0.0,0.0,51182.0,1768600.0,1062150.0,339358.0,0.0,5658.0,4724.0,6798.0,169870.0,2542970.0,491246.0,24.0,0.0,0.0,0.0,1022488.0,914684.0,277206.0,200992.0,162492.0,140516.0,198902.0,304010.0,0.0,0.0,3456308.0,22.0,590.0,658.0,24.0,1463538.0,47170.0,327884.0,389620.0,245120.0,249220.0,237100.0,248500.0,267420.0,288320.0,301420.0,317460.0,218660.0,42098.37,3456308.0,3456308.0,3444308.0,21146.0,584.0,96914.0,1027700.0,3221290.0,1209600.0,117688.0,0.0,98.0,0.0,2811437.76,0.0,407053.44,0.0,0.0,0.0,0.0,0.0,33172.0,1086788.0,1650134.0,417568.0,27966.0,5368.0,294.0,28.0,36.0,3456308.0,0.0,6194.0,924.0,71280.0,211170.0,181286.0,2308930.0,427558.0,13786.0,162.0,0.0,1802.0,2450.0,2824654.0,131558.0,0.0,30006.0,0.0,26.0,2834212.0,3096.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27184.0,28746.0,4508.0,0.0,0.0,95808.0,14010.0,60180.0,8382.0,2273888.0,428.0,0.0,0.0,14501030.0,1598.96,1994.0,428312.0,990550.0,431360.0,191706.0,387646.0,384998.0,179270.0,99900.0,123408.0,4140.0,0.0,0.0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3221290.0,6.149862943106644,0.636946689059352,3221290.0,6.524536443474509,0.549034703488354,3221290.0,4.084135237746369,0.7894259753080287,3221290.0,2.094223742662101,0.31741569371276723,3221290.0,4.794382995632184,0.5122587534807483,3221290.0,4.876907698468626,0.7167718522703638,3221290.0,2.7018387043699885,0.3075010321951765
541530.0,0.0,146.0,122.0,0.0,0.0,0.0,9836.0,476728.0,5066604.0,11505040.0,11899284.0,4158110.0,227432.0,22782.0,4388.0,10393330.0,15110.0,0.0,0.0,2085488.0,3267776.0,24485468.0,22487048.0,12513934.0,3443136.0,0.0,0.0,0.0,0.0,114.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,31576.0,18448590.0,14890038.0,0.0,105804.0,68378.0,119094.0,289976.0,5570788.0,27216164.0,0.0,0.0,0.0,0.0,5349768.0,11709146.0,5757468.0,3465100.0,1944584.0,1495590.0,1725520.0,1296628.0,450188.0,176212.0,39087626.0,16.0,64.0,174.0,2.0,10393330.0,377754.0,7555630.0,4951962.0,347400.0,351880.0,460440.0,463580.0,516800.0,643700.0,487160.0,411660.0,69780.0,541529.55,39087626.0,39087626.0,39128546.0,246632.0,966.0,24752.0,333400.0,33370204.0,1209600.0,3302.0,2.0,44.0,0.0,28325881.92,0.0,5040315.84,0.0,8.0,31844.0,1490594.0,7233016.0,11881378.0,9156838.0,3226904.0,289802.0,52654.0,7110.0,64.0,8.0,14.0,39087626.0,0.0,21454.0,4086.0,2513206.0,1932338.0,4521274.0,24231456.0,146390.0,0.0,0.0,0.0,1372.0,6576.0,25128058.0,9891466.0,6.0,83154.0,0.0,0.0,25904606.0,1328.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239446.0,10760.0,2236.0,0.0,0.0,46262.0,8106.0,178100.0,28602.0,0.0,0.0,0.0,0.0,627060.0,746.56,846.0,5170866.0,3766774.0,2786194.0,1516780.0,3906754.0,7229264.0,8038736.0,872932.0,81848.0,56.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,33370204.0,4.448343078753729,0.3565840952006167,33370204.0,7.445261347518283,0.5528461857769884,33370204.0,4.780925702461992,0.8155827875670164,33370204.0,2.202341825659801,0.35088625769264103,33370204.0,3.1922932805565107,0.35604750872964397,33370204.0,4.52344336882088,0.7261404814906136,33370204.0,3.615832435426526,0.2408956205362125
498.0,0.0,48.0,28.0,0.0,0.0,0.0,0.0,0.0,1714.0,28144.0,29652.0,11960.0,718.0,150.0,0.0,23224.0,0.0,0.0,0.0,3534.0,6080.0,54724.0,41008.0,53298.0,6058.0,0.0,0.0,0.0,0.0,22.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2948.0,69390.0,0.0,10236.0,174.0,260.0,472.0,4096.0,57100.0,0.0,0.0,0.0,0.0,41364.0,17486.0,5534.0,1198.0,794.0,900.0,754.0,2750.0,1188.0,370.0,111708.0,24.0,8.0,44.0,0.0,23224.0,1228.0,38562.0,14472.0,209420.0,220760.0,237100.0,248500.0,267420.0,288320.0,301420.0,317460.0,52360.0,498.74,111708.0,111708.0,120552.0,358.0,0.0,10442.0,110480.0,72338.0,1209600.0,2570.0,0.0,28.0,0.0,31954.56,0.0,30417.6,0.0,72.0,0.0,866.0,18016.0,33520.0,8352.0,8566.0,3000.0,18.0,0.0,0.0,18.0,26.0,111708.0,0.0,10016.0,56.0,2126.0,2130.0,37140.0,20200.0,670.0,0.0,0.0,0.0,48.0,136.0,31900.0,5310.0,0.0,58.0,0.0,0.0,34806.0,174.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.0,100.0,10.0,42274.0,8490.0,1432.0,316.0,720.0,74.0,64586.0,56.0,0.0,0.0,0.0,163.26,188.0,32264.0,10098.0,4446.0,1252.0,10688.0,1770.0,5432.0,6388.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72338.0,4.754955901462578,0.4099090381265725,72338.0,7.959246868865603,0.9592468688656032,72338.0,4.202410904365617,0.7893499958528021,72338.0,1.0565954270231415,0.5718156432303907,72338.0,3.204705687190688,0.4633802427493157,72338.0,3.6533772014708727,0.5134230971273742,72338.0,2.096491470596367,0.4460173076391385
48942.0,0.0,280.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,134584.0,2424254.0,489782.0,12982.0,240.0,1304762.0,0.0,0.0,0.0,0.0,0.0,2731068.0,2373356.0,419308.0,294894.0,0.0,0.0,0.0,0.0,956.0,128.0,0.0,0.0,0.0,0.0,0.0,219324.0,540098.0,2301526.0,1138.0,0.0,3240.0,886.0,1130.0,56464.0,2617044.0,383306.0,16.0,0.0,0.0,0.0,807672.0,696328.0,259344.0,270630.0,288976.0,266388.0,296676.0,176072.0,0.0,0.0,3150984.0,98.0,38.0,52.0,30.0,1304762.0,32996.0,182364.0,235822.0,153220.0,168920.0,237100.0,248500.0,267420.0,288320.0,301420.0,317460.0,91240.0,48941.57,3150984.0,3150984.0,3154096.0,23242.0,5260.0,68928.0,725260.0,3062086.0,1209600.0,100424.0,10.0,82.0,0.0,2679671.04,0.0,378654.72,0.0,0.0,0.0,0.0,0.0,474.0,1082156.0,1764376.0,185044.0,23948.0,5840.0,248.0,260.0,266.0,3150984.0,0.0,6178.0,632.0,85116.0,221932.0,132274.0,2114824.0,493648.0,7428.0,54.0,0.0,354.0,430.0,2508116.0,2196.0,0.0,140.0,0.0,28.0,2719336.0,2258.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19638.0,42920.0,16196.0,0.0,0.0,60334.0,10776.0,9789180.0,1015988.0,0.0,0.0,0.0,0.0,47941590.0,1036.92,1414.0,406082.0,559714.0,353662.0,166602.0,347668.0,252318.0,277148.0,238078.0,440322.0,20492.0,0.0,0.0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3062086.0,6.124553653947015,0.7917001677941116,3062086.0,6.68073790220131,0.7516203006708498,3062086.0,4.100910294485524,0.8546605157399237,3062086.0,2.458229455345147,0.2637652894138179,3062086.0,4.728403447845684,0.5762006684332184,3062086.0,4.883661660711032,0.6906481398628256,3062086.0,3.741091530414234,0.18278846511822333
202.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,8840.0,18026.0,12734.0,0.0,0.0,16372.0,0.0,0.0,0.0,0.0,0.0,36056.0,22542.0,25174.0,4712.0,0.0,0.0,0.0,0.0,192.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,11012.0,2666.0,26126.0,0.0,1510.0,928.0,718.0,7202.0,10684.0,18000.0,762.0,0.0,0.0,0.0,30134.0,6472.0,2176.0,658.0,222.0,94.0,34.0,14.0,0.0,0.0,61324.0,10.0,2.0,6.0,2.0,16372.0,942.0,11318.0,13516.0,209420.0,220760.0,237100.0,248500.0,267420.0,288320.0,301420.0,317460.0,24220.0,201.71,61324.0,61324.0,60246.0,94.0,0.0,5432.0,60440.0,39804.0,1209600.0,1944.0,0.0,0.0,0.0,19638.72,0.0,19944.96,0.0,0.0,0.0,0.0,0.0,7982.0,12520.0,17372.0,1584.0,306.0,40.0,0.0,0.0,4.0,61324.0,0.0,506.0,70.0,74.0,786.0,2096.0,8848.0,21724.0,5480.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,30.0,6.0,0.0,0.0,602.0,226.0,1220.0,120.0,7806.0,40.0,0.0,0.0,0.0,191.96,192.0,21724.0,10018.0,2280.0,1030.0,1746.0,870.0,728.0,684.0,724.0,0.0,0.0,0.0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39804.0,6.087579137775098,0.45286905838609187,39804.0,7.379710581851071,0.6563661943523263,39804.0,4.05180383881017,0.4522158577027434,39804.0,0.3632298261481258,0.757059592000804,39804.0,4.342578635313034,0.43643854888955885,39804.0,5.669379961812883,0.5457742940407999,39804.0,1.1041603858908653,0.5457742940407999
804192.0,0.0,146.0,122.0,0.0,0.0,0.0,32582.0,569678.0,9136998.0,21562060.0,23861678.0,11488354.0,4348884.0,600202.0,2650.0,29334516.0,5872.0,0.0,0.0,2543150.0,3504244.0,58367008.0,53102818.0,12272666.0,7050750.0,24.0,0.0,404.0,0.0,34494.0,3934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13948090.0,57654992.0,0.0,149596.0,105168.0,335830.0,428260.0,29782982.0,40801246.0,0.0,0.0,0.0,0.0,25403990.0,17714068.0,9397334.0,6471940.0,3749656.0,2406828.0,2171144.0,3648350.0,590136.0,49634.0,73183388.0,24256.0,47526.0,13494.0,370.0,29334516.0,891446.0,3988774.0,8267556.0,464620.0,366060.0,300380.0,265960.0,234640.0,219180.0,231260.0,207560.0,203120.0,804191.88,73183388.0,73183388.0,73273662.0,448458.0,76542.0,24752.0,551560.0,71603076.0,1209600.0,1530694.0,2.0,44.0,0.0,46337569.92,16632338.88,8579880.0,0.0,8.0,51802.0,1988758.0,14701218.0,23289062.0,21212710.0,9856986.0,437534.0,59264.0,5724.0,22.0,8.0,5444.0,73183388.0,0.0,30676.0,7598.0,9727024.0,4409840.0,31289698.0,26055246.0,82998.0,0.0,0.0,0.0,3780.0,38942.0,31242978.0,11132514.0,6.0,213576.0,0.0,0.0,35154448.0,62250.0,3998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494198.0,266770.0,61746.0,0.0,0.0,1927674.0,282862.0,11427320.0,1879004.0,0.0,0.0,0.0,0.0,627060.0,746.56,846.0,25540920.0,9675008.0,5779438.0,2704472.0,6367602.0,15507068.0,5029658.0,964724.0,34192.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,71603086.0,4.725178185755849,0.3332492959870473,71603082.0,7.805202658734718,0.8052026587347176,71603082.0,4.541700677074208,0.5698252765153321,71603080.0,1.769343274060278,0.3547890677328405,71603080.0,3.33058566754391,0.32525223775290113,71603080.0,4.030890514765566,0.4369881574926665,71603082.0,2.3680209742926985,0.35670140567413006
750072.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,40870.0,2861592.0,26209040.0,20020540.0,1389204.0,9234.0,0.0,19272832.0,14252.0,0.0,0.0,20224.0,41268.0,37210932.0,28291898.0,15622912.0,7486006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3350230.0,44704360.0,1922104.0,553782.0,0.0,37620.0,9880.0,19396.0,40644.0,13896444.0,36512722.0,13188.0,264.0,200.0,118.0,23473402.0,5227016.0,3375284.0,2806108.0,2526562.0,3567994.0,6118804.0,3123116.0,291420.0,20768.0,52865786.0,640.0,1318.0,3756.0,1418.0,19272832.0,944370.0,7831062.0,7739230.0,360460.0,368260.0,352700.0,337400.0,399180.0,397160.0,344580.0,329140.0,241820.0,750072.46,52865786.0,52865786.0,51701662.0,345301.0,2063188.0,24752.0,714280.0,50530470.0,1209600.0,0.0,2.0,44.0,0.0,46182105.6,0.0,4276919.04,0.0,8.0,0.0,206.0,438742.0,13059636.0,25681316.0,10245344.0,890608.0,177284.0,36830.0,508.0,8.0,0.0,52865786.0,0.0,57622.0,12618.0,1861696.0,2711932.0,10640816.0,33441824.0,1765928.0,38038.0,0.0,0.0,216.0,278.0,1107012.0,44304.0,0.0,212.0,0.0,0.0,1697258.0,24906.0,3780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627040.0,869902.0,176498.0,0.0,0.0,1695800.0,234412.0,50770120.0,7625030.0,0.0,0.0,0.0,0.0,627060.0,746.56,846.0,4608614.0,9977738.0,8086802.0,4858614.0,12640332.0,8623050.0,1614508.0,84410.0,35802.0,606.0,0.0,0.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50530480.0,5.393491571819623,0.5186778356350464,50530476.0,5.993656066093658,0.8847009476023935,50530476.0,4.7180166678026145,0.7225881268167749,50530474.0,2.165723480052849,0.464539517282185,50530474.0,3.975668821155329,0.5082342192159132,50530474.0,4.601303047345252,0.6618149673403024,50530476.0,2.8690319481653015,0.25015264055695813
38624.0,0.0,412.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,77020.0,1002054.0,1104028.0,290424.0,13892.0,0.0,1260854.0,0.0,366.0,0.0,1200.0,1802.0,2221256.0,1969330.0,344618.0,210276.0,0.0,0.0,0.0,0.0,272.0,350.0,0.0,0.0,0.0,0.0,0.0,8290.0,860298.0,1373976.0,244854.0,0.0,2046.0,1486.0,1444.0,3628.0,1135298.0,1338784.0,4732.0,0.0,0.0,0.0,651980.0,683886.0,247950.0,203250.0,225836.0,311686.0,162436.0,394.0,0.0,0.0,2567512.0,484.0,1512.0,344.0,4.0,1260854.0,35074.0,192160.0,151620.0,145760.0,172540.0,237100.0,248500.0,267420.0,288320.0,301420.0,317460.0,22140.0,38624.99,2567512.0,2567512.0,2570954.0,16175.0,9968.0,10378.0,143340.0,2487418.0,1209600.0,83550.0,0.0,152.0,0.0,2247315.84,0.0,221976.0,0.0,0.0,0.0,0.0,3174.0,363222.0,1177156.0,800948.0,130796.0,9130.0,2834.0,158.0,0.0,4.0,2567512.0,0.0,3112.0,438.0,22356.0,124730.0,77684.0,1390398.0,849140.0,19470.0,90.0,0.0,572.0,1412.0,2226242.0,72120.0,48.0,24192.0,0.0,0.0,2286620.0,1396.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18604.0,32746.0,4878.0,0.0,0.0,76918.0,10426.0,158000.0,32932.0,0.0,0.0,0.0,0.0,1287120.0,883.84,936.0,236438.0,546778.0,383522.0,172608.0,328716.0,283532.0,184804.0,123184.0,204098.0,23738.0,0.0,0.0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2487418.0,5.663150302844154,0.4438449830305964,2487418.0,6.745911624021375,0.5523703695961033,2487418.0,4.534325151623088,0.5382223655211951,2487418.0,2.1020528113891594,0.2749381085125218,2487418.0,4.294476441032428,0.473244143123512,2487418.0,5.191695163418452,0.5589723962759777,2487418.0,3.369641933925058,0.21981749750142518
42754.0,0.0,296.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.0,221282.0,1740990.0,776732.0,51798.0,280.0,1193708.0,0.0,0.0,0.0,0.0,0.0,2499558.0,2154106.0,423958.0,282938.0,0.0,0.0,0.0,0.0,316.0,182.0,0.0,0.0,0.0,0.0,0.0,142458.0,1631702.0,496582.0,521832.0,0.0,8052.0,5314.0,19912.0,155008.0,2190600.0,413610.0,76.0,0.0,2.0,0.0,956536.0,556376.0,266948.0,215734.0,173814.0,175606.0,284058.0,163502.0,0.0,0.0,2924222.0,190.0,1030.0,64.0,16.0,1193708.0,34278.0,214536.0,208540.0,168120.0,173340.0,237100.0,248500.0,267420.0,288320.0,301420.0,317460.0,76100.0,42753.33,2924222.0,2924222.0,2920000.0,19299.0,5004.0,45858.0,497860.0,2792574.0,1209600.0,86874.0,24.0,66.0,0.0,2393752.32,0.0,396380.16,0.0,0.0,0.0,0.0,0.0,4648.0,550376.0,1523274.0,668850.0,38538.0,6296.0,592.0,54.0,66.0,2924222.0,0.0,4646.0,572.0,16538.0,177002.0,144222.0,1833594.0,603526.0,12430.0,44.0,0.0,372.0,634.0,2267200.0,58062.0,0.0,65180.0,0.0,50.0,2420550.0,1790.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19510.0,47988.0,8314.0,0.0,0.0,75874.0,15396.0,293820.0,67498.0,0.0,0.0,0.0,0.0,4036320.0,1338.38,1434.0,422852.0,477202.0,364850.0,183516.0,368154.0,330576.0,227002.0,156402.0,253346.0,8674.0,0.0,0.0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2792574.0,6.23523172528284,0.6234355830857123,2792574.0,6.500537496947261,0.5843003623180621,2792574.0,4.061157913809983,0.7844375833908072,2792574.0,2.205714870939857,0.3425284343405045,2792574.0,5.0743077891579595,0.5454731011604348,2792574.0,5.019752386149839,0.6565963874189189,2792574.0,3.382043233232136,0.1708824904908518
